id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2244	chris gibbons	-0.8425	-0.285	14	1	2	3	34	2.613	2016.6667	11.3333	0.871
2249	chris j karr	0.0612	-0.0642	2	13	20	3	368	9.1211	2015.6667	122.6667	3.0404
2271	christiaan vis	-0.5706	-0.0541	3	8	13	3	47	9.4422	2017.6667	15.6667	3.1474
2299	christin bexelius	1.3329	0.6221	22	4	10	3	88	1.0728	2009.6667	29.3333	0.3576
2332	christine godfrey	1.045	0.428	12	6	22	4	272	3.4906	2011	68	0.8726
2407	christopher millett	0.9072	0.1204	11	3	6	3	173	3.56	2012.3333	57.6667	1.1867
2409	christopher n sciamanna	0.2676	-0.0515	2	3	4	5	130	2.1327	2009.4	26	0.4265
2425	christopher williams	-0.6218	0.2142	3	2	3	3	47	0.9828	2012.6667	15.6667	0.3276
2462	cicely kerr	1.088	0.3313	12	3	9	3	142	1.4165	2007.3333	47.3333	0.4722
2477	ciska hoving	-0.8781	0.4019	5	10	18	6	745	17.0115	2014.1667	124.1667	2.8353
2502	clare e collins	-1.2507	0.5403	6	4	18	9	337	7.5657	2013.5556	37.4444	0.8406
2516	claudia buntrock	-0.6631	0.1152	3	8	16	3	23	4.2129	2018	7.6667	1.4043
2559	colleen stilesshields	0.012	-0.037	2	9	13	3	130	7.6309	2017	43.3333	2.5436
2573	constance h c drossaert	-0.7537	-0.4084	13	6	13	7	400	8.1632	2013	57.1429	1.1662
2582	corinna jacobi	-0.6316	0.1703	3	3	3	3	10	2.6795	2018	3.3333	0.8932
2587	corneel vandelanotte	-1.1015	0.6422	6	22	55	17	1075	35.2234	2014.5882	63.2353	2.072
2588	cornelia f van udenkraan	-0.7285	-0.3685	13	5	5	3	185	2.7341	2013.6667	61.6667	0.9114
2589	cornelia m ruland	-0.547	-0.4578	19	6	15	7	172	4.7972	2013.4286	24.5714	0.6853
2607	courtney r lyles	1.1002	0.0922	16	9	15	7	112	5.658	2017	16	0.8083
2631	cristina m caperchione	-1.056	0.7087	6	5	8	3	84	3.1732	2015.6667	28	1.0577
2648	cynthia brandt	0.7732	-0.1448	1	7	11	5	92	5.4663	2014.6	18.4	1.0933
2677	d keith mcinnes	0.8435	-0.1532	1	7	12	4	41	2.0893	2016.5	10.25	0.5223
2748	daniel e ford	0.786	-0.2734	1	8	14	5	211	3.5511	2010.4	42.2	0.7102
2808	daniela n schulz	-0.94	0.4239	5	12	24	5	131	4.1443	2014.6	26.2	0.8289
2809	daniela paolotti	-0.3833	-0.6131	4	2	2	4	26	3.1815	2017.5	6.5	0.7954
2819	danielle e ramo	1.0969	0.05	16	3	4	4	313	7.9541	2015	78.25	1.9885
2831	dante morra	0.3312	-0.619	10	4	7	3	299	4.1278	2011.3333	99.6667	1.3759
2863	david a haggstrom	0.8577	-0.1843	1	5	6	4	24	0.7536	2017.5	6	0.1884
2873	david brian abrams	0.6353	0.0464	1	4	11	5	189	2.9348	2010.4	37.8	0.587
2874	david brindley	0.7945	0.132	8	2	5	4	10	15.4442	2018.75	2.5	3.8611
2880	david c mohr	0.092	-0.0489	2	24	71	20	1288	45.7177	2016.1	64.4	2.2859
2890	david daniel ebert	-0.6243	0.1098	3	14	57	15	310	30.1451	2016.9333	20.6667	2.0097
2891	david davies	0.776	0.3664	8	10	13	3	53	1.83	2016.3333	17.6667	0.61
2913	david h gustafson	0.8638	-0.5052	20	3	5	5	175	8.3994	2015.2	35	1.6799
2929	david j kavanagh	-0.3098	-0.1177	7	7	12	5	224	2.6914	2015.2	44.8	0.5383
2963	david p french	1.2156	0.414	12	2	3	4	49	6.2555	2018.25	12.25	1.5639
2974	david r kaufman	1.0842	-0.0825	16	1	1	3	74	5.9792	2009.6667	24.6667	1.9931
2988	david w austin	-0.3723	-0.1175	7	2	5	3	162	2.3275	2011.3333	54	0.7758
2991	david w mcdonald	0.9742	0.1333	24	3	6	3	35	1.3774	2015	11.6667	0.4591
2996	david wiljer	0.3144	-0.3678	10	6	6	4	204	2.8428	2008	51	0.7107
3024	debbe thompson	-1.1646	0.6505	6	3	3	4	66	2.8397	2015.75	16.5	0.7099
3034	deborah a kerr	-0.2727	0.5034	17	1	1	3	162	3.8161	2013.6667	54	1.272
3040	deborah f tate	0.8169	-0.4129	20	1	2	3	178	2.84	2015	59.3333	0.9467
